Fragment Size,Count,Range,Group,BAM File
166,1284489,100-200,Plasma,C2-57-plasma.bam
165,1269847,100-200,Plasma,C2-57-plasma.bam
167,1266890,100-200,Plasma,C2-57-plasma.bam
168,1222820,100-200,Plasma,C2-57-plasma.bam
164,1191191,100-200,Plasma,C2-57-plasma.bam
169,1160371,100-200,Plasma,C2-57-plasma.bam
163,1088765,100-200,Plasma,C2-57-plasma.bam
170,1081432,100-200,Plasma,C2-57-plasma.bam
162,1023914,100-200,Plasma,C2-57-plasma.bam
171,1005444,100-200,Plasma,C2-57-plasma.bam
161,984446,100-200,Plasma,C2-57-plasma.bam
160,951552,100-200,Plasma,C2-57-plasma.bam
172,939696,100-200,Plasma,C2-57-plasma.bam
173,893430,100-200,Plasma,C2-57-plasma.bam
159,892529,100-200,Plasma,C2-57-plasma.bam
174,853771,100-200,Plasma,C2-57-plasma.bam
175,821188,100-200,Plasma,C2-57-plasma.bam
158,815067,100-200,Plasma,C2-57-plasma.bam
176,786058,100-200,Plasma,C2-57-plasma.bam
157,741797,100-200,Plasma,C2-57-plasma.bam
177,733928,100-200,Plasma,C2-57-plasma.bam
152,696142,100-200,Plasma,C2-57-plasma.bam
153,691768,100-200,Plasma,C2-57-plasma.bam
156,686066,100-200,Plasma,C2-57-plasma.bam
178,676100,100-200,Plasma,C2-57-plasma.bam
154,660498,100-200,Plasma,C2-57-plasma.bam
155,656310,100-200,Plasma,C2-57-plasma.bam
151,651483,100-200,Plasma,C2-57-plasma.bam
179,612859,100-200,Plasma,C2-57-plasma.bam
150,596960,100-200,Plasma,C2-57-plasma.bam
180,555160,100-200,Plasma,C2-57-plasma.bam
149,551800,100-200,Plasma,C2-57-plasma.bam
145,533091,100-200,Plasma,C2-57-plasma.bam
144,530492,100-200,Plasma,C2-57-plasma.bam
142,530071,100-200,Plasma,C2-57-plasma.bam
143,527878,100-200,Plasma,C2-57-plasma.bam
148,522275,100-200,Plasma,C2-57-plasma.bam
146,518939,100-200,Plasma,C2-57-plasma.bam
147,509678,100-200,Plasma,C2-57-plasma.bam
141,508395,100-200,Plasma,C2-57-plasma.bam
181,500422,100-200,Plasma,C2-57-plasma.bam
182,453393,100-200,Plasma,C2-57-plasma.bam
140,443502,100-200,Plasma,C2-57-plasma.bam
183,411439,100-200,Plasma,C2-57-plasma.bam
184,380509,100-200,Plasma,C2-57-plasma.bam
139,357512,100-200,Plasma,C2-57-plasma.bam
185,355818,100-200,Plasma,C2-57-plasma.bam
186,333735,100-200,Plasma,C2-57-plasma.bam
134,320323,100-200,Plasma,C2-57-plasma.bam
187,313048,100-200,Plasma,C2-57-plasma.bam
133,305638,100-200,Plasma,C2-57-plasma.bam
188,291209,100-200,Plasma,C2-57-plasma.bam
138,289642,100-200,Plasma,C2-57-plasma.bam
135,278815,100-200,Plasma,C2-57-plasma.bam
189,266904,100-200,Plasma,C2-57-plasma.bam
132,250106,100-200,Plasma,C2-57-plasma.bam
137,249593,100-200,Plasma,C2-57-plasma.bam
136,242763,100-200,Plasma,C2-57-plasma.bam
190,241916,100-200,Plasma,C2-57-plasma.bam
191,216987,100-200,Plasma,C2-57-plasma.bam
192,195406,100-200,Plasma,C2-57-plasma.bam
131,189788,100-200,Plasma,C2-57-plasma.bam
193,175071,100-200,Plasma,C2-57-plasma.bam
194,157740,100-200,Plasma,C2-57-plasma.bam
122,147643,100-200,Plasma,C2-57-plasma.bam
130,147078,100-200,Plasma,C2-57-plasma.bam
195,144728,100-200,Plasma,C2-57-plasma.bam
123,140826,100-200,Plasma,C2-57-plasma.bam
196,134289,100-200,Plasma,C2-57-plasma.bam
121,127031,100-200,Plasma,C2-57-plasma.bam
197,123094,100-200,Plasma,C2-57-plasma.bam
129,121784,100-200,Plasma,C2-57-plasma.bam
198,114933,100-200,Plasma,C2-57-plasma.bam
124,114254,100-200,Plasma,C2-57-plasma.bam
199,107519,100-200,Plasma,C2-57-plasma.bam
128,104922,100-200,Plasma,C2-57-plasma.bam
200,98560,100-200,Plasma,C2-57-plasma.bam
120,96712,100-200,Plasma,C2-57-plasma.bam
127,95289,100-200,Plasma,C2-57-plasma.bam
125,93363,100-200,Plasma,C2-57-plasma.bam
126,89996,100-200,Plasma,C2-57-plasma.bam
201,89550,200-500,Plasma,C2-57-plasma.bam
202,80265,200-500,Plasma,C2-57-plasma.bam
119,74191,100-200,Plasma,C2-57-plasma.bam
203,71655,200-500,Plasma,C2-57-plasma.bam
204,63772,200-500,Plasma,C2-57-plasma.bam
118,63120,100-200,Plasma,C2-57-plasma.bam
112,62371,100-200,Plasma,C2-57-plasma.bam
111,60958,100-200,Plasma,C2-57-plasma.bam
205,57813,200-500,Plasma,C2-57-plasma.bam
117,57041,100-200,Plasma,C2-57-plasma.bam
113,55818,100-200,Plasma,C2-57-plasma.bam
116,55572,100-200,Plasma,C2-57-plasma.bam
206,53670,200-500,Plasma,C2-57-plasma.bam
110,53353,100-200,Plasma,C2-57-plasma.bam
114,52010,100-200,Plasma,C2-57-plasma.bam
115,51582,100-200,Plasma,C2-57-plasma.bam
207,49161,200-500,Plasma,C2-57-plasma.bam
208,44893,200-500,Plasma,C2-57-plasma.bam
109,43862,100-200,Plasma,C2-57-plasma.bam
209,41416,200-500,Plasma,C2-57-plasma.bam
108,37783,100-200,Plasma,C2-57-plasma.bam
210,37418,200-500,Plasma,C2-57-plasma.bam
101,37102,100-200,Plasma,C2-57-plasma.bam
102,34993,100-200,Plasma,C2-57-plasma.bam
103,34734,100-200,Plasma,C2-57-plasma.bam
107,34576,100-200,Plasma,C2-57-plasma.bam
104,34348,100-200,Plasma,C2-57-plasma.bam
