## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/control/C2-57.control.insert_size_histogram.pdf --INPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/recal/C2-57-control.bam --OUTPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/control/C2-57.control.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 19:49:54 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
179	150	52	2	235610410	190.883277	81.762233	26793944	FR	21	41	61	81	105	129	159	197	257	335	513			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	132
3	136
4	136
5	153
6	158
7	169
8	185
9	192
10	175
11	206
12	194
13	222
14	194
15	194
16	192
17	209
18	205
19	1959
20	2320
21	2058
22	1646
23	1808
24	1011
25	895
26	1247
27	1037
28	1643
29	1363
30	1218
31	1431
32	1883
33	2147
34	2584
35	3126
36	3676
37	4443
38	5348
39	6284
40	7207
41	8188
42	8998
43	10264
44	11220
45	12264
46	13400
47	14773
48	16458
49	17669
50	18887
51	20374
52	21124
53	22880
54	24208
55	25463
56	26854
57	27894
58	29685
59	31019
60	32453
61	33654
62	35060
63	36358
64	38153
65	39370
66	41437
67	42547
68	44104
69	45629
70	47390
71	48608
72	49917
73	51174
74	53447
75	54665
76	56331
77	58257
78	59519
79	61181
80	62393
81	64129
82	65351
83	66771
84	69368
85	70545
86	72293
87	74395
88	76386
89	77761
90	78591
91	80262
92	81993
93	83283
94	85019
95	86917
96	88679
97	90110
98	92188
99	93399
100	95077
101	97671
102	97994
103	99413
104	101330
105	102623
106	104808
107	106613
108	107829
109	109407
110	110506
111	112673
112	113692
113	115146
114	116388
115	118164
116	119334
117	121555
118	121856
119	123624
120	125368
121	125692
122	126969
123	128211
124	129197
125	130471
126	131348
127	131927
128	133850
129	135168
130	135533
131	136351
132	137438
133	138084
134	137974
135	139368
136	140059
137	141737
138	141819
139	143054
140	143349
141	142833
142	143813
143	142951
144	144245
145	143876
146	144130
147	144283
148	144905
149	145513
150	146556
151	145612
152	146110
153	145983
154	145164
155	145116
156	145669
157	145317
158	144992
159	145187
160	145242
161	145770
162	145433
163	144965
164	144857
165	143881
166	142966
167	142903
168	142524
169	142871
170	142210
171	142371
172	141277
173	141384
174	140221
175	139673
176	139463
177	137509
178	137121
179	136619
180	136087
181	135978
182	135307
183	134856
184	134064
185	133101
186	131571
187	131473
188	130300
189	128987
190	129007
191	128498
192	127962
193	127445
194	125991
195	126142
196	124219
197	123455
198	121918
199	121242
200	120440
201	119965
202	119634
203	119493
204	118344
205	117026
206	115673
207	114817
208	113918
209	112279
210	111039
211	111319
212	110650
213	110111
214	108900
215	108845
216	107550
217	106268
218	104919
219	103324
220	102526
221	101499
222	100566
223	100413
224	99744
225	99416
226	99012
227	96653
228	95812
229	94268
230	92791
231	92180
232	91614
233	91372
234	91023
235	90246
236	89696
237	88227
238	87598
239	85750
240	84501
241	83039
242	83002
243	82579
244	82208
245	81282
246	80819
247	79774
248	78747
249	77563
250	76270
251	75029
252	74406
253	73939
254	73859
255	73479
256	72532
257	72117
258	70426
259	69708
260	68546
261	67625
262	66300
263	65980
264	65557
265	65045
266	64369
267	63982
268	63320
269	62578
270	61330
271	59947
272	59572
273	58797
274	57847
275	57629
276	57369
277	56987
278	55698
279	54610
280	53943
281	53314
282	52208
283	51523
284	51032
285	50985
286	50887
287	49973
288	49311
289	48889
290	48157
291	46754
292	46373
293	45690
294	44570
295	44830
296	44319
297	44197
298	43438
299	43056
300	42405
301	41533
302	40945
303	39801
304	39745
305	39424
306	38363
307	38352
308	38229
309	38041
310	37281
311	36663
312	35518
313	34866
314	34362
315	34113
316	33974
317	33617
318	33233
319	33055
320	32408
321	32140
322	30968
323	30737
324	29895
325	29835
326	29360
327	29239
328	29133
329	29011
330	28143
331	27619
332	27296
333	26644
334	26010
335	25830
336	25545
337	24999
338	24882
339	24663
340	24644
341	23782
342	23547
343	23280
344	22573
345	22226
346	22375
347	21779
348	21757
349	21418
350	21281
351	20894
352	20361
353	20010
354	19751
355	19071
356	18932
357	18649
358	18524
359	18373
360	18242
361	17787
362	17633
363	17394
364	16830
365	16662
366	15913
367	15978
368	15800
369	15641
370	15659
371	15261
372	15125
373	14721
374	14542
375	14137
376	13756
377	13356
378	13450
379	13502
380	13113
381	13017
382	12721
383	12546
384	12086
385	11815
386	11830
387	11805
388	11408
389	11389
390	11115
391	10955
392	10987
393	10810
394	10559
395	10312
396	10143
397	9713
398	9897
399	9568
400	9391
401	9159
402	9139
403	9011
404	8895
405	8751
406	8429
407	8436
408	8096
409	7989
410	7885
411	7830
412	7782
413	7582
414	7583
415	7340
416	7073
417	7114
418	6944
419	6901
420	6444
421	6610
422	6402
423	6603
424	6387
425	6184
426	6162
427	5666
428	5748
429	5747
430	5564
431	5414
432	5311
433	5384
