## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/plasma/C2-57.plasma.insert_size_histogram.pdf --INPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/recal/C2-57-plasma.bam --OUTPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/plasma/C2-57.plasma.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 19:47:03 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
164	166	12	2	229777410	160.023707	23.737128	20223218	FR	5	9	13	19	25	31	39	51	71	99	209			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	2
4	1
5	3
6	3
7	3
8	2
11	1
12	10
13	3
14	1
15	2
16	4
17	4
18	4
19	2
20	1
21	6
22	5
23	2
24	4
25	2
26	7
27	13
28	30
29	184
30	1599
31	1675
32	1908
33	2036
34	2141
35	2330
36	2524
37	2765
38	2934
39	3176
40	3409
41	3519
42	3570
43	3636
44	3842
45	3987
46	4330
47	4613
48	4907
49	5262
50	5662
51	5664
52	5663
53	5862
54	6444
55	6746
56	7223
57	7379
58	8071
59	8476
60	8424
61	8523
62	8374
63	8371
64	8292
65	8157
66	8281
67	7961
68	8237
69	8673
70	8897
71	8582
72	8332
73	8359
74	8455
75	8560
76	8635
77	8552
78	10279
79	11036
80	11791
81	12030
82	10843
83	9609
84	9656
85	9489
86	9619
87	9625
88	9967
89	11842
90	12740
91	14052
92	14060
93	12575
94	11324
95	10552
96	10873
97	10958
98	11807
99	13333
100	15248
101	16675
102	15878
103	15675
104	15521
105	14926
106	15042
107	15576
108	17145
109	19830
110	24024
111	27495
112	28185
113	25203
114	23448
115	23288
116	24779
117	25734
118	28500
119	33609
120	43808
121	57539
122	66678
123	63571
124	51366
125	42027
126	40549
127	43134
128	47365
129	55071
130	66618
131	85971
132	113159
133	137925
134	143732
135	125671
136	109943
137	112933
138	131023
139	161919
140	200442
141	229377
142	239291
143	238042
144	239704
145	240646
146	234422
147	230611
148	236364
149	249586
150	270224
151	294706
152	314631
153	312450
154	298768
155	296928
156	310592
157	335774
158	368924
159	403926
160	430686
161	445895
162	463421
163	493032
164	539260
165	574646
166	581054
167	573190
168	553299
169	525751
170	490030
171	455620
172	425691
173	405284
174	387356
175	372430
176	356716
177	333199
178	306607
179	278663
180	251987
181	227436
182	206183
183	187325
184	173374
185	161958
186	152018
187	142679
188	132544
189	121697
190	110294
191	98832
192	89032
193	79909
194	72011
195	66176
196	61188
197	56308
198	52644
199	49064
200	45020
201	40948
202	36698
203	32833
204	29223
205	26587
206	24539
207	22577
208	20589
209	18984
210	17123
211	15696
212	14221
213	12689
214	11448
215	10099
216	8966
217	8368
218	7310
219	6981
220	6161
221	5634
222	5148
223	4456
224	4018
225	3530
226	3265
227	2824
228	2601
229	2298
230	2090
231	1953
232	1765
233	1545
234	1428
235	1280
236	1105
237	1002
238	947
239	847
240	788
241	741
242	625
243	585
244	537
245	516
246	413
247	354
248	310
249	266
250	276
251	226
252	209
253	225
254	196
255	186
256	188
257	162
258	150
259	120
260	134
261	167
262	132
263	127
264	149
265	117
266	131
267	126
268	116
269	123
270	109
271	131
272	133
273	136
274	138
275	125
276	155
277	117
278	141
279	135
280	150
281	173
282	163
283	166
284	172

