## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/tumor/C2-57.tumor.insert_size_histogram.pdf --INPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/recal/C2-57-tumor.bam --OUTPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/tumor/C2-57.tumor.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 19:48:31 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
190	152	59	2	242372782	205.104626	91.748408	20228574	FR	23	47	69	93	119	147	177	219	289	381	573			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	70
3	80
4	79
5	95
6	83
7	79
8	95
9	92
10	87
11	85
12	111
13	108
14	113
15	106
16	107
17	112
18	106
19	1719
20	1806
21	1369
22	1007
23	992
24	630
25	609
26	844
27	785
28	1114
29	1039
30	1065
31	1367
32	1553
33	1872
34	2145
35	2316
36	2723
37	3182
38	3479
39	4026
40	4458
41	5009
42	5546
43	6148
44	6779
45	7236
46	7925
47	8657
48	9240
49	10175
50	10855
51	11553
52	12319
53	13209
54	14160
55	14735
56	15811
57	16723
58	17952
59	18754
60	19634
61	20391
62	21348
63	22840
64	23987
65	24988
66	25834
67	26896
68	27941
69	29216
70	30591
71	31545
72	32429
73	33824
74	35053
75	36304
76	37365
77	38393
78	39757
79	40981
80	42317
81	43090
82	44217
83	46015
84	47161
85	48384
86	49962
87	51004
88	51992
89	53097
90	54251
91	55570
92	56779
93	57769
94	59576
95	60645
96	61991
97	62768
98	64040
99	65183
100	65853
101	67127
102	68072
103	69918
104	71161
105	71952
106	72883
107	74412
108	75058
109	76013
110	76974
111	78082
112	78798
113	79601
114	80949
115	81433
116	82724
117	83287
118	83780
119	85040
120	85710
121	86250
122	87046
123	88069
124	88097
125	89048
126	89951
127	90802
128	90409
129	91852
130	92106
131	92896
132	93287
133	93650
134	94514
135	93987
136	95046
137	95264
138	95615
139	95786
140	95892
141	97100
142	96816
143	97109
144	97048
145	97073
146	97115
147	97490
148	97258
149	97338
150	98326
151	98341
152	98599
153	98258
154	97405
155	97436
156	97859
157	97869
158	97459
159	98038
160	97819
161	98078
162	97969
163	97131
164	97922
165	97295
166	96605
167	96679
168	96840
169	96000
170	96519
171	96269
172	96092
173	95738
174	96461
175	94955
176	95091
177	94591
178	94433
179	94038
180	93632
181	93472
182	92814
183	92928
184	93005
185	92269
186	91213
187	91098
188	90709
189	90151
190	89642
191	88972
192	88915
193	88972
194	89067
195	88181
196	87538
197	87081
