## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/plasma/E06.plasma.insert_size_histogram.pdf --INPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/recal/E06-plasma.bam --OUTPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/plasma/E06.plasma.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 19:28:37 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
166	166	11	2	242919091	163.375161	21.811262	33955303	FR	5	7	13	17	23	31	41	55	91	265	415			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	12
3	11
4	10
5	4
6	9
7	9
8	7
9	18
10	13
11	8
12	7
13	11
14	11
15	12
16	3
17	3
18	5
19	7
20	10
21	12
22	5
23	5
24	8
25	1
26	13
27	7
28	36
29	64
30	637
31	689
32	791
33	860
34	925
35	1046
36	1210
37	1310
38	1358
39	1504
40	1565
41	1613
42	1822
43	1915
44	2003
45	2114
46	2314
47	2457
48	2748
49	2972
50	2974
51	3270
52	3204
53	3308
54	3574
55	3750
56	4011
57	4159
58	4898
59	5057
60	5377
61	5382
62	5468
63	5537
64	5767
65	5691
66	5892
67	5925
68	6041
69	6560
70	6848
71	6877
72	6854
73	6582
74	7086
75	7377
76	7338
77	7527
78	7894
79	8461
80	8915
81	9097
82	8363
83	7968
84	8043
85	8340
86	8486
87	8412
88	9572
89	11019
90	11912
91	13213
92	13043
93	12214
94	11400
95	11223
96	11431
97	11514
98	12189
99	13423
100	14936
101	16391
102	16519
103	16871
104	16753
105	16393
106	16365
107	17213
108	18969
109	21196
110	24679
111	27768
112	28870
113	26860
114	26280
115	26653
116	28807
117	30118
118	33044
119	38051
120	47873
121	63314
122	74015
123	73630
124	61571
125	52709
126	52918
127	57728
128	63351
129	72631
130	88717
131	113920
132	150997
133	185903
134	196696
135	175646
136	158111
137	164394
138	191177
139	232964
140	282407
141	318119
142	328873
143	327742
144	328261
145	333607
146	330979
147	331902
148	347506
149	372825
150	405768
151	444872
152	471856
153	473163
154	460629
155	466215
156	495989
157	544200
158	602380
159	658395
160	702038
161	735323
162	778652
163	860457
164	977486
165	1070170
166	1083007
167	1046887
168	983372
169	914756
170	837978
171	767407
172	712095
173	677456
174	647647
175	622947
176	589114
177	544420
178	492143
179	442028
180	392576
181	349579
182	313120
183	285929
184	262506
185	245259
186	231180
187	216005
188	202291
189	185723
190	169099
191	153256
192	138308
193	125182
194	115104
195	107030
196	100871
197	95090
198	90140
199	85350
200	79592
201	74689
202	68716
203	63210
204	57668
205	54053
206	50158
207	46608
208	44547
209	41486
210	39036
211	36849
212	34192
213	30864
214	28482
215	26427
216	23883
217	21933
218	20643
219	19540
220	18202
221	17192
222	15925
223	14639
224	13655
225	12396
226	11856
227	10626
228	9967
229	9463
230	8885
231	8584
232	8089
233	7359
234	6953
235	6488
236	6208
237	5744
238	5554
239	5300
240	5099
241	5445
242	4854
243	4423
244	4266
245	4193
246	3784
247	3505
248	3338
249	3334
250	3289
251	3352
252	3364
253	3414
254	3342
255	3178
256	3080
257	2985
258	3042
259	2906
260	3112
261	3216
262	3414
263	3536
264	3561
265	3532
266	3411
267	3457
268	3509
269	3653
270	3954
271	4214
272	4562
273	4758
274	4764
275	4796
276	5078

