## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/tumor/E06.tumor.insert_size_histogram.pdf --INPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/recal/E06-tumor.bam --OUTPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/tumor/E06.tumor.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 19:30:44 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
182	151	54	2	247730641	199.715931	90.425522	19938330	FR	21	43	63	85	109	135	167	209	285	385	607			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	98
3	107
4	119
5	122
6	112
7	110
8	118
9	139
10	120
11	143
12	148
13	135
14	120
15	131
16	136
17	105
18	138
19	1394
20	1571
21	1200
22	847
23	679
24	599
25	610
26	703
27	796
28	905
29	1097
30	1272
31	1585
32	1814
33	2073
34	2348
35	2631
36	2894
37	3383
38	3898
39	4327
40	4825
41	5332
42	5952
43	6292
44	7132
45	7473
46	8277
47	8903
48	9757
49	10338
50	11024
51	12011
52	12706
53	13663
54	14264
55	14993
56	15653
57	16867
58	18047
59	19276
60	20565
61	21199
62	21576
63	22363
64	23262
65	24077
66	25448
67	26152
68	27766
69	29112
70	29983
71	30725
72	31164
73	32239
74	33562
75	34373
76	36022
77	37089
78	38356
79	40075
80	41855
81	42664
82	42855
83	43621
84	44558
85	46099
86	47669
87	48415
88	50619
89	53647
90	55463
91	55906
92	56721
93	56450
94	57621
95	57974
96	58907
97	60762
98	62249
99	64576
100	66230
101	67702
102	68932
103	70115
104	71139
105	71363
106	72598
107	74194
108	75192
109	77388
110	79183
111	80255
112	81267
113	81040
114	81736
115	82294
116	83653
117	84295
118	86090
119	88301
120	89403
121	90239
122	91894
123	92578
124	93374
125	93428
126	94837
127	95971
128	96592
129	98885
130	99562
131	100615
132	102087
133	103810
134	104345
135	104079
136	104080
137	104086
138	105004
139	106107
140	106871
141	107691
142	108008
143	108300
144	109040
145	110077
146	110622
147	110740
148	110888
149	111628
150	112340
151	112410
152	110876
153	110834
154	110337
155	109532
156	108527
157	108165
158	108064
159	107902
160	108149
161	107131
162	107168
163	106419
164	106918
165	105916
166	105327
167	105324
168	105110
169	104844
170	104982
171	104144
172	103655
173	103439
174	102803
175	102037
176	101528
177	101211
178	100283
179	99715
180	99475
181	99174
182	98595
183	97910
184	97039
185	95946
186	95389
187	94569
188	93532
189	93015
190	92415
191	92267
192	91514
193	91246
194	90293
195	89810
196	89109
197	87598
198	86266
199	86069
200	85389
201	84885
202	84736
203	84102
204	83416
205	82055
206	81997
207	80451
208	79795
209	78524
210	78245
211	77631
212	77504
213	77234
214	76697
215	76282
216	75077
217	74407
218	73092
219	72604
220	71616
221	71092
222	70710
223	70463
224	69968
225	69093
226	69000
227	68016
228	66728
229	66308
230	65046
231	64699
232	63806
233	64214
234	64017
235	63667
236	62772
237	62448
238	61575
239	60028
240	59787
241	59269
242	58504
243	58287
244	58560
245	57956
246	57197
247	57419
248	56336
249	55481
250	54511
251	53866
252	53644
253	53111
254	53265
255	53209
256	52684
257	52442
258	51676
259	50821
260	50041
261	49091
262	48797
263	48037
264	48826
265	48148
266	48101
267	47714
268	47092
269	46361
270	45696
271	44921
272	44459
273	43913
274	43787
275	43595
276	43591
277	43310
278	42809
279	42574
280	41896
281	40799
282	39993
283	39598
284	39563
285	39889
286	39281
287	39351
288	39285
289	38299
290	37981
291	36849
292	36458
293	35935
294	35488
295	35557
296	35497
297	35241
298	34846
299	34916
300	33768
301	33310
302	32749
303	32147
304	32123
305	31936
306	31991
307	31690
308	31460
309	31375
310	30740
311	29974
312	29618
313	28951
314	28701
315	28581
316	28395
317	28293
318	28081
319	27804
320	27515
321	26977
322	26595
323	26059
324	25604
325	25353
326	25124
327	25148
328	25110
329	25032
330	24576
331	23968
332	23624
333	23092
334	22503
335	22266
336	22315
337	22299
338	22161
339	22031
340	21739
341	21730
342	21088
343	20574
344	19943
345	19535
346	19335
347	19185
348	19527
349	19224
350	19310
351	18909
352	18421
353	18279
354	17805
355	17545
356	17099
357	17008
358	16962
359	17012
360	16776
361	16962
362	16425
363	15966
364	15566
365	15488
366	15001
367	14833
368	14825
369	14851
370	14630
371	14710
372	14565
373	14146
374	13791
375	13621
376	13239
377	12940
378	12904
379	12950
380	13090
381	12709
382	12704
383	12512
384	12213
385	11881
386	11514
387	11306
388	11092
389	11104
390	11107
391	11285
392	11185
393	10893
394	10626
395	10420
396	10157
397	10099
398	9862
399	9860
400	9704
401	9691
402	9857
403	9383
404	9410
405	9071
406	8999
407	8644
408	8702
409	8516
410	8576
411	8344
412	8289
413	8273
414	8257
415	8005
416	7883
417	7660
418	7604
419	7439
420	7397
421	7195
422	7380
423	7382
424	7159
425	7010
426	6878
427	6948
428	6701
429	6402
430	6349
431	6307
432	6338
433	6132
434	6225
435	6034
436	5995
437	5934
438	5813
439	5641
440	5488
441	5597
442	5511
443	5502
444	5395
445	5319
446	5304
447	5089
448	4993
449	5060
450	4797
451	4785
452	4926
453	4735
454	4716
455	4622
456	4515
457	4540
458	4385
459	4251
460	4186
461	4151
462	4170
463	4140
464	4088
465	3990
466	3988
467	3943
468	3738
469	3833
470	3612
471	3593
472	3554
473	3503
474	3624
475	3395
476	3422
477	3451
478	3250
479	3250
480	3150
481	3154
482	3149
483	3060
484	2978
485	3075
486	3045
487	2951
488	2853
489	2793
490	2790
491	2782
492	2601
493	2660
494	2656
495	2717
496	2672
497	2530
498	2453
499	2408
500	2385
501	2363
502	2274
503	2186
504	2236
505	2157
506	2248
507	2216
508	2196
509	2147
510	2083
511	2013
512	2036
513	2041
514	1919
515	1960
516	1922
517	1919
518	1873
519	1837
520	1812
521	1755
522	1771
523	1698
524	1711
525	1732
526	1681
527	1624
528	1612
529	1605
530	1580
531	1484
532	1452
533	1428
534	1496
535	1438
536	1388
537	1472
538	1305
539	1370
540	1316
541	1324
542	1299
543	1256
544	1222
545	1171
546	1173
547	1187
548	1154
549	1159
550	1139
551	1106
552	1064
553	1113
554	1042
555	1050
556	1030
557	1000
558	1064
559	947
560	947
561	979
562	906
563	939
564	878
565	839
566	900
567	865
568	876
569	841
570	783
571	831
572	742
573	748
574	800
575	780
576	702
577	691
578	680
579	691
580	653
581	639
582	659
583	600
584	571
585	548
586	558
587	534
588	589
589	523
590	537
591	515
592	505
593	495
594	457
595	492
596	466
597	467
598	417
599	443
600	441
601	406
602	467
603	433
604	452
605	412
606	408
607	386
608	388
609	407
610	361
611	326
612	370
613	349
614	345
615	342
616	350
617	330
618	344
619	298
620	328
621	323
622	281
623	304
624	287
625	315
626	281
627	264
628	250
629	269
630	258
631	244
632	263
633	256
634	254
635	257
636	221
637	224
638	225
639	205
640	238
641	206
642	249
643	231
644	211
645	209
646	204
647	181
648	214
649	185
650	216
651	165
652	192
653	191
654	159
655	159
656	157
657	149
658	169
659	147
660	139
661	141
662	152
663	154
664	141
665	121
666	135
667	118
668	134
669	138
670	145
671	101
672	117
673	124
674	121
675	116
676	126
677	103
678	118
679	124
680	115
681	91
682	93
683	91
684	110
685	108
686	102
687	81
688	92
689	92
690	77
691	91
692	88
693	86
694	67
695	83
696	87
697	100
698	71
699	68
700	62
701	78
702	82
703	68
704	78
705	73
706	64
707	76
708	75
709	74
710	49
711	60
712	54
713	61
714	68
715	54
716	55
717	48
718	52
719	63
720	51
721	57
722	44

