## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/control/E23.control.insert_size_histogram.pdf --INPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/recal/E23-control.bam --OUTPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/control/E23.control.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 19:53:11 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
184	151	54	2	228133815	199.179553	87.422186	15842485	FR	21	43	63	85	109	135	165	203	275	365	575			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	97
3	92
4	105
5	106
6	122
7	137
8	110
9	133
10	122
11	147
12	124
13	117
14	150
15	123
16	141
17	159
18	155
19	1091
20	1264
21	996
22	671
23	560
24	489
25	519
26	501
27	604
28	687
29	773
30	880
31	1056
32	1143
33	1404
34	1503
35	1681
36	1963
37	2191
38	2523
39	2903
40	3274
41	3505
42	3930
43	4232
44	4592
45	5097
46	5396
47	5859
48	6491
49	6976
50	7400
51	8147
52	8535
53	9143
54	9864
55	10410
56	11014
57	11451
58	12129
59	13033
60	13331
61	14157
62	15015
63	15806
64	17149
65	17638
66	18328
67	18889
68	19995
69	21108
70	21372
71	22337
72	23362
73	24492
74	25545
75	26664
76	27754
77	28685
78	30068
79	30846
80	31735
81	32199
82	33051
83	34252
84	35887
85	36688
86	38078
87	39136
88	40269
89	41507
90	42159
91	42914
92	43946
93	44918
94	46110
95	48079
96	48880
97	50125
98	51535
99	52497
100	52613
101	54062
102	54530
103	55857
104	57271
105	58833
106	59885
107	60963
108	61831
109	62874
110	63484
111	64151
112	64414
113	65454
114	66328
115	67641
116	69029
117	69957
118	70916
119	71496
120	72060
121	72538
122	73490
123	73397
124	74033
125	74791
126	75452
127	76110
128	78058
129	77980
130	79221
131	79019
132	79069
133	79328
134	79908
135	80277
136	81139
137	81554
138	82190
139	83121
140	82978
141	83308
142	82923
143	82730
144	82497
145	82811
146	83025
147	83391
148	83484
149	84057
150	84532
151	84542
152	84030
153	84231
154	83826
155	83401
156	83513
157	83196
158	83486
159	84122
160	84302
161	83680
162	84541
163	83769
164	83074
165	82666
166	82132
167	82000
168	81980
169	82866
170	82907
171	82186
172	82167
173	81638
174	80989
175	80703
176	80007
177	79162
178	79397
179	78987
180	79150
181	79097
182	79171
183	78254
184	78174
185	77433
186	76582
187	76327
188	75413
189	75102
190	75059
191	75056
192	74285
193	73773
194	73659
195	72893
196	72576
197	72045
198	71284
199	70466
200	70599
201	70500
202	70328
203	69963
204	69489
205	68562
206	68016
207	67699
208	66782
209	65364
210	65677
211	65330
