## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/control/H7.control.insert_size_histogram.pdf --INPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/recal/H7-control.bam --OUTPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/control/H7.control.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 18:59:01 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
183	157	51	2	232443716	195.342647	81.195301	16554105	FR	21	41	61	81	103	129	157	195	255	333	511			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	64
3	69
4	82
5	75
6	65
7	69
8	88
9	80
10	99
11	111
12	112
13	106
14	119
15	94
16	105
17	119
18	107
19	988
20	1208
21	995
22	693
23	571
24	431
25	371
26	433
27	401
28	585
29	508
30	503
31	524
32	608
33	682
34	764
35	892
36	1052
37	1196
38	1359
39	1664
40	1893
41	2214
42	2431
43	2911
44	3214
45	3734
46	4070
47	4669
48	5258
49	5972
50	6587
51	7281
52	7933
53	8624
54	9755
55	10131
56	10756
57	11907
58	12478
59	13390
60	14047
61	14930
62	15960
63	16836
64	17565
65	18585
66	19473
67	20062
68	21358
69	22250
70	23101
71	23978
72	25038
73	25785
74	27483
75	28402
76	29095
77	29968
78	31061
79	32006
80	33669
81	34429
82	34660
83	36401
84	37413
85	38822
86	39602
87	40608
88	42064
89	43330
90	43753
91	44898
92	45866
93	46840
94	48000
95	49194
96	50475
97	51592
98	52554
99	53993
100	54996
101	55807
102	56638
103	57857
104	59041
105	60146
106	61655
107	62730
108	63832
109	64354
110	65855
111	66841
112	67579
113	68909
114	69793
115	70759
116	72433
117	72496
118	73589
119	74698
120	75801
121	75696
122	75978
123	78124
124	78167
125	79160
126	79478
127	80464
128	81143
129	82305
130	83173
131	83110
132	83704
133	84920
134	85192
135	85414
136	85880
137	86971
138	87531
139	87486
140	88411
141	88604
142	88267
143	88783
144	89196
145	89144
146	89529
147	90314
148	90283
149	90413
150	90337
151	90738
152	90567
153	91006
154	90847
155	90353
156	90408
157	91294
158	90923
159	90748
160	91163
161	90966
162	90856
163	91192
164	90803
165	90163
166	89852
167	89791
168	89166
169	89435
170	89240
171	89372
172	88752
173	89123
174	88440
175	88233
176	88176
177	87150
178	86661
179	86475
180	86247
181	86010
182	85278
183	85472
184	84962
185	84124
186	83577
187	83534
188	82455
189	81954
190	81922
191	81628
192	81341
193	81087
194	80413
195	79775
196	79224
197	78210
198	77369
199	76961
200	76405
201	75808
202	75582
203	75853
204	75464
205	74875
206	73772
207	73793
208	71951
209	71626
210	70942
211	70762
212	70466
213	70006
214	70008
215	68966
216	68694
217	67725
218	67213
219	66315
220	65541
221	64611
222	65147
223	64399
224	64056
225	63867
226	62925
227	62104
228	62077
229	60504
230	59847
231	59346
232	58871
233	58810
234	58278
235	57937
236	57265
237	57019
238	56114
239	55418
240	54529
241	53591
242	53173
243	53206
244	52832
245	52673
246	52365
247	51586
248	50670
249	50038
250	49432
251	48458
252	47987
253	47707
254	47315
255	47421
256	46786
257	46589
258	45879
259	45034
260	44537
261	43872
262	43628
263	42828
264	42656
265	42492
266	42150
267	41404
268	41414
269	40319
270	39308
271	39186
272	38635
273	38131
274	37969
275	37657
276	37484
277	36961
278	36202
279	36097
280	35375
281	34418
282	34031
283	33496
284	33610
285	32968
286	32890
287	32750
288	32387
289	31958
290	31231
291	30396
292	30475
293	29969
294	29523
295	29218
296	28931
297	28968
298	28658
299	28094
300	27634
301	26804
302	26724
303	25900
304	26021
305	25647
306	25503
307	25034
308	24856
309	24803
310	24109
311	23786
312	23353
313	23177
314	22664
315	22300
316	21959
317	22106
318	21953
319	21643
320	21089
321	21129
322	20459
323	20047
324	19816
325	19647
326	19518
327	19199
328	19143
329	19039
330	18445
331	18035
332	17892
333	17607
334	17066
335	16879
336	16855
337	16581
338	16216
339	16300
340	16119
341	15739
342	15223
343	15065
344	15055
345	14783
346	14375
347	14201
348	13883
349	14045
350	13856
351	13752
352	13265
353	13242
354	12852
355	12743
356	12505
357	12007
358	12167
359	11909
360	11810
361	11645
362	11702
363	11195
364	11159
365	10740
366	10661
367	10594
368	10409
369	10346
370	10233
371	10123
372	10002
373	9682
374	9428
375	9258
376	9017
377	9024
378	8649
379	8645
380	8713
381	8614
382	8359
383	8216
384	8010
385	8011
386	7883
387	7574
388	7402
389	7537
390	7313
391	7170
392	7109
393	6986
394	6880
395	6724
396	6516
397	6469
398	6399
399	6295
400	6210
401	6110
402	6105
403	6018
404	5877
405	5960
406	5607
407	5432
408	5563
409	5252
410	5198
411	5300
412	5066
413	5078
414	4790
415	4830
416	4651
417	4534
418	4618
419	4452
420	4378
421	4266
422	4192
423	4181
424	4079
425	4058
426	3895
427	3880
428	3736
429	3806
430	3630
431	3588
432	3628
433	3604
434	3546
435	3418
436	3329
437	3301
438	3150
439	3123
440	3081
441	2932
442	2983
443	2882
444	2841
445	2816
446	2683
447	2666
448	2647
449	2590
450	2540
451	2383
452	2396
453	2403
454	2327
455	2325
456	2290
457	2199
458	2130
459	2097
460	2101
461	2062
462	2100
463	2010
464	2002
465	1936
466	1896
467	1796
468	1772
469	1729
470	1686
471	1625
472	1669
473	1660
474	1554
475	1601
476	1478
477	1507
478	1471
479	1449
480	1401
481	1368
482	1330
483	1255
484	1255
485	1268
486	1228
487	1230
488	1170
489	1128
490	1118
491	1104
492	1058
493	1098
494	1040
495	1052
496	963
497	1007
498	983
499	961
500	942
501	897
502	887
503	832
504	797
505	811
506	808
507	770
508	786
509	724
510	677
511	725
512	695
513	694
514	741
515	640
516	654
517	649
518	648
519	629
520	580
521	601
522	548
523	583
524	559
525	544
526	580
527	490
528	504
529	488
530	474
531	449
532	455
533	431
534	427
535	448
536	435
537	456
538	396
539	376
540	402
541	345
542	382
543	400
544	392
545	342
546	304
547	308
548	340
549	295
550	299
551	287
552	248
553	257
554	284
555	252
556	221
557	248
558	224
559	211
560	221
561	225
562	208
563	204
564	170
565	181
566	167
567	193
568	158
569	163
570	165
571	144
572	143
573	142
574	165
575	137
576	127
577	144
578	113
579	102
580	125
581	110
582	120
583	104
584	112
585	116
586	100
587	103
588	90
589	105
590	84
591	93
592	91
593	95
594	81
595	89
596	101
597	80
598	65
599	80
600	83
601	72
602	83
603	61
604	67
605	66
606	53
607	63
608	59
609	81
610	55
611	52
612	69
613	52
614	61
615	48
616	44
617	60
618	40
619	52
620	43
621	31
622	47
623	51
624	38
625	31
626	47
627	30
628	25
629	34
630	28
631	29
632	29
633	36
634	19
635	27
636	42
637	26
638	26
639	23
640	25
641	29
642	23
643	29
644	29
645	29
646	29
647	23
648	25
649	15
650	15
651	15
652	25
653	20
654	20
655	13
656	20
657	19
658	13
659	17
660	26
661	7
662	12
663	11
664	19
665	8
666	8
667	10
668	10
669	13
670	12
671	9
672	12
673	7
674	14
675	5
676	8
677	4
678	4
679	10
680	8
681	7
682	8
683	11
684	11
685	13
686	9
687	3
688	6
689	8
690	11
691	7
692	7
693	5

