## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/tumor/H7.tumor.insert_size_histogram.pdf --INPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/recal/H7-tumor.bam --OUTPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/tumor/H7.tumor.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 18:57:24 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
187	152	55	2	229096769	200.788201	87.009562	23215088	FR	21	43	65	87	111	137	167	207	275	359	549			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	103
3	104
4	116
5	129
6	107
7	114
8	134
9	102
10	128
11	116
12	118
13	140
14	148
15	122
16	137
17	126
18	149
19	1602
20	1820
21	1490
22	1135
23	1102
24	635
25	641
26	832
27	856
28	1192
29	1103
30	1177
31	1472
32	1771
33	2043
34	2364
35	2919
36	3307
37	3660
38	4146
39	4740
40	5189
41	5805
42	6395
43	6861
44	7602
45	7932
46	8802
47	9634
48	10636
49	11509
50	12236
51	13172
52	13907
53	14703
54	15757
55	16462
56	17489
57	18526
58	19187
59	20305
60	21512
61	22525
62	23712
63	24581
64	26190
65	26799
66	28214
67	29136
68	30758
69	31548
70	32723
71	34030
72	34827
73	36409
74	38018
75	39081
76	40205
77	41688
78	42516
79	44374
80	45488
81	46964
82	48122
83	49443
84	50871
85	52216
86	53934
87	55438
88	56661
89	58699
90	59635
91	60883
92	62781
93	63583
94	64997
95	67219
96	68358
97	69723
98	70797
99	72145
100	74372
101	75296
102	76289
103	77887
104	79704
105	81141
106	82996
107	84377
108	85309
109	87076
110	88521
111	89559
112	90707
113	91352
114	93662
115	94743
116	95929
117	97172
118	98610
119	99570
120	100552
121	101613
122	102133
123	103387
124	104429
125	105725
126	106792
127	107681
128	108294
129	109409
130	110284
131	110696
132	111455
133	112757
134	112882
135	113581
136	114528
137	114889
138	115673
139	116306
140	117134
141	117313
142	118082
143	118538
144	118386
145	118258
146	118429
147	119550
148	119588
149	119696
150	120681
151	120834
152	120884
153	120450
154	120637
155	119714
156	120387
157	119991
158	120515
159	119818
160	119949
161	120710
162	120671
163	120853
164	120092
165	119701
166	119987
167	118884
168	118915
169	118308
170	118453
171	118302
172	117554
173	118275
174	118306
175	117205
176	116256
177	115891
178	115336
179	114932
180	115241
181	114008
182	114100
183	113975
184	112928
185	113511
186	111604
187	111222
188	110573
189	110261
190	109394
191	109153
192	109443
193	109083
194	107434
195	107521
