## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/plasma/H8.plasma.insert_size_histogram.pdf --INPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/recal/H8-plasma.bam --OUTPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/plasma/H8.plasma.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 19:42:33 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
117	166	55	2	223225007	107.806074	58.861508	9460347	FR	53	77	91	101	111	121	133	149	167	177	195			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	54
3	39
4	42
5	44
6	41
7	67
8	53
9	46
10	70
11	52
12	55
13	64
14	83
15	79
16	73
17	81
18	174
19	39822
20	23501
21	15987
22	17878
23	25058
24	33820
25	42390
26	51212
27	61154
28	73945
29	82355
30	86928
31	87481
32	88568
33	89019
34	88586
35	87605
36	88356
37	90762
38	96249
39	99520
40	97651
41	94997
42	94413
43	94488
44	93151
45	91888
46	90585
47	90773
48	93372
49	97549
50	99041
51	95849
52	94415
53	94554
54	94298
55	93584
56	93986
57	93084
58	93380
59	92292
60	88491
61	82524
62	75593
63	70514
64	65713
65	61890
66	56497
67	52164
68	48848
69	47549
70	45537
71	41997
72	38950
73	37334
74	35268
75	33787
76	31539
77	29467
78	28520
79	28887
80	28545
81	26521
82	23061
83	20014
84	18161
85	16854
86	15809
87	14840
88	14345
89	14867
90	15589
91	15758
92	14762
93	12752
94	10831
95	9891
96	9493
97	8998
98	9198
99	9645
100	10319
101	10546
102	9966
103	9360
104	8679
105	8122
106	7966
107	8042
108	8172
109	8746
110	10190
111	11105
112	10727
113	9334
114	8661
115	8471
116	9097
117	9155
118	9837
119	11163
120	13988
121	17258
122	19535
123	17910
124	14185
125	11738
126	11439
127	12050
128	13441
129	15168
130	18286
131	23073
132	29724
133	35482
134	35942
135	30986
136	27936
137	29456
138	33810
139	41020
140	49031
141	54535
142	55340
143	55136
144	55923
145	55137
146	54860
147	54856
148	57474
149	61204
150	66047
151	70813
152	74416
153	73240
154	70900
155	72777
156	76679
157	84447
158	94396
159	102888
160	108788
161	112290
162	117753
163	127511
164	142833
165	154460
166	155785
167	153590
168	146650
169	137487
170	127912
171	117077
172	107826
173	102604
174	97030
175	92446
176	87136
177	80544
178	72293
179	65228
180	57530
181	50615
182	44607
183	39714
184	36315
185	33104
186	30708
187	28210
188	25609
189	23128
190	20387
191	18037
192	15947
193	14043
194	12418
195	11314
196	10369
197	9621
198	9079
199	8409
200	7747
201	6926
202	6286
203	5616
204	5032
205	4576
206	4114
207	3929
208	3469
209	3391
210	3016
211	2686
212	2457
213	2213
214	1953
215	1754
216	1571
217	1529
218	1293
219	1189
220	1079
221	1012
222	903
223	767
224	684
225	662
226	572
227	505
228	457
229	414
230	337
231	358
232	324
233	293
234	263
235	234
236	201
237	217
238	212
239	152
240	151
241	162
242	136
243	127
244	127
245	128
246	136
247	99
248	112
249	93
250	114
251	81
252	85
253	82
254	77
255	89
256	75
257	65
258	64
259	66
260	57
261	78
262	73
263	55
264	83
265	58
266	66
267	58
268	54
269	60
270	61
271	77
272	87
273	78
274	69
275	70
276	75
277	68
278	87
279	92
280	92
281	107
282	93
283	94
284	116
285	90
286	124
287	123
288	120
289	121
290	151
291	135
292	157
293	171
294	199
295	178
296	169
297	185
298	194
299	202
300	232
301	214
302	249
303	239
304	237
305	245
306	294
307	293
308	296
309	318
310	322
311	297
312	346
313	346
314	322
315	331
316	377
317	303
318	341
319	366
320	334
321	324
322	312
323	335
324	299
325	338
326	289
327	300
328	280
329	275
330	275
331	269
332	252
333	268
334	265
335	251
336	261
337	228
338	244
339	244
340	228
341	192
342	181
343	184
344	175
345	202
346	176
347	174
348	166
349	176
350	176
351	142
352	162
353	133
354	147
355	150
356	131
357	135
358	138
359	124
360	142
361	134
362	107
363	120
364	118
365	111
366	99
367	103
368	106
369	93
370	80
371	86
372	82
373	90
374	81
375	67
376	76
377	90
378	91
379	74
380	63
381	64
382	61
383	52
384	46
385	53
386	56
387	48
388	55
389	32
390	35
391	41
392	49
393	32
394	46
395	42
396	29
397	33
398	37
399	28
400	34
401	25
402	23
403	21
404	16
405	21
406	22
407	21
408	10
409	11
410	22
411	12
412	13
413	10
414	7
415	9
416	9
417	8
418	9
419	9
420	11
421	8
422	10
423	12
424	10
425	11
426	10
427	7
428	5
429	6
430	7
431	10
432	6
433	4
434	2
435	8
436	6
437	1
438	3
439	9
440	3
441	9
442	5
443	5
444	1
445	4
446	5
447	5
448	2
449	5
450	11
451	6
452	4
453	9
454	6
455	5
456	6
457	2
458	6
459	8
460	5
461	11
462	8
463	3
464	9
465	7
466	7
467	9
468	4
469	1
470	6
471	9
473	2
474	3
475	3
476	6
477	6
478	5
479	3
480	3
481	1
482	5
483	1
484	8
486	1
487	3
488	5
489	4
490	6
491	4
493	1
494	1
495	2
496	2
497	2
498	4
499	4
500	3
501	1
502	5
503	1
504	3
505	2
506	2
507	1
508	1
509	3
510	1
511	1
512	2
513	3
514	1
515	5
516	2
517	3
518	1
519	1
520	3
521	5
522	1
524	3
525	1
526	1
527	4
528	2
529	1
530	1
531	1
532	1
533	2
534	2
535	2
537	1
538	3
539	3
540	1
545	2
546	1
547	2
549	2
550	1
551	1
552	1
554	1
555	2
557	2
558	1
559	1
560	1
561	1
562	1
563	2
564	2
567	1
568	2
569	1
571	3
572	1
579	1
581	1
583	2
584	1
586	1
587	1
590	1
594	1
595	1
596	2
597	1
599	1
606	1
610	1
611	1
613	1
621	1
626	1
632	1
638	1
647	1
655	1
658	1
662	1

