chrom	length	bases	mean	min	max
chr1	248956422	565962266	2.27	0	5758
chr2	242193529	546590602	2.26	0	2787
chr3	198295559	448462349	2.26	0	11343
chr4	190214555	434222330	2.28	0	6561
chr5	181538259	407074079	2.24	0	5575
chr6	170805979	380438369	2.23	0	680
chr7	159345973	360039365	2.26	0	226
chr8	145138636	330072944	2.27	0	1708
chr9	138394717	282340067	2.04	0	804
chr10	133797422	314671520	2.35	0	4915
chr11	135086622	306476105	2.27	0	152
chr12	133275309	296912390	2.23	0	69
chr13	114364328	227296476	1.99	0	3351
chr14	107043718	201434959	1.88	0	506
chr15	101991189	197092814	1.93	0	200
chr16	90338345	206150607	2.28	0	2656
chr17	83257441	191811063	2.30	0	2034
chr18	80373285	185812577	2.31	0	3452
chr19	58617616	124284329	2.12	0	254
chr20	64444167	158858015	2.47	0	1527
chr21	46709983	118330386	2.53	0	2071
chr22	50818468	98865482	1.95	0	1750
chrX	156040895	177605295	1.14	0	75
chrY	57227415	51832778	0.91	0	5628
chrM	16569	749624	45.24	0	89
total	3088286401	6613386791	2.14	0	11343
