chrom	length	bases	mean	min	max
chr1	248956422	358527644	1.44	0	4068
chr2	242193529	338423642	1.40	0	1893
chr3	198295559	277288498	1.40	0	10913
chr4	190214555	265569200	1.40	0	6015
chr5	181538259	250625816	1.38	0	4171
chr6	170805979	235981382	1.38	0	288
chr7	159345973	224366470	1.41	0	185
chr8	145138636	203605810	1.40	0	336
chr9	138394717	176421936	1.27	0	1162
chr10	133797422	198729585	1.49	0	4132
chr11	135086622	189029599	1.40	0	37
chr12	133275309	186361690	1.40	0	80
chr13	114364328	138963316	1.22	0	2921
chr14	107043718	123971637	1.16	0	312
chr15	101991189	121898180	1.20	0	144
chr16	90338345	135594597	1.50	0	1972
chr17	83257441	127521621	1.53	0	2557
chr18	80373285	115316455	1.43	0	2812
chr19	58617616	86394008	1.47	0	93
chr20	64444167	101454279	1.57	0	747
chr21	46709983	74583625	1.60	0	3983
chr22	50818468	64949180	1.28	0	1724
chrX	156040895	110074980	0.71	0	82
chrY	57227415	35348979	0.62	0	4337
chrM	16569	1920376	115.90	23	184
total	3088286401	4142922505	1.34	0	10913
