chrom	length	bases	mean	min	max
chr1	248956422	511924750	2.06	0	4289
chr2	242193529	504826232	2.08	0	2102
chr3	198295559	417695815	2.11	0	20204
chr4	190214555	383852694	2.02	0	6510
chr5	181538259	375195288	2.07	0	4266
chr6	170805979	292012329	1.71	0	262
chr7	159345973	384894878	2.42	0	281
chr8	145138636	327511053	2.26	0	801
chr9	138394717	249144780	1.80	0	1376
chr10	133797422	221000958	1.65	0	4141
chr11	135086622	224355351	1.66	0	187
chr12	133275309	208484992	1.56	0	57
chr13	114364328	162483397	1.42	0	3512
chr14	107043718	182913145	1.71	0	442
chr15	101991189	172433669	1.69	0	186
chr16	90338345	184323760	2.04	0	2313
chr17	83257441	133786976	1.61	0	3111
chr18	80373285	205267246	2.55	0	3569
chr19	58617616	116766931	1.99	0	125
chr20	64444167	145868005	2.26	0	844
chr21	46709983	106762313	2.29	0	4585
chr22	50818468	88418048	1.74	0	1956
chrX	156040895	162231793	1.04	0	138
chrY	57227415	48003930	0.84	0	4567
chrM	16569	6819132	411.56	131	576
total	3088286401	5816977465	1.88	0	20204
