chrom	length	bases	mean	min	max
chr1	248956422	575149832	2.31	0	9599
chr2	242193529	535007055	2.21	0	4225
chr3	198295559	440565309	2.22	0	15482
chr4	190214555	431015871	2.27	0	11472
chr5	181538259	399315301	2.20	0	8486
chr6	170805979	375833712	2.20	0	669
chr7	159345973	355876453	2.23	0	384
chr8	145138636	318809378	2.20	0	1218
chr9	138394717	272912472	1.97	0	7387
chr10	133797422	312941221	2.34	0	8441
chr11	135086622	298750719	2.21	0	345
chr12	133275309	293632181	2.20	0	313
chr13	114364328	230250159	2.01	0	6752
chr14	107043718	196995370	1.84	0	549
chr15	101991189	191777674	1.88	0	274
chr16	90338345	222662014	2.46	0	4895
chr17	83257441	198033066	2.38	0	4598
chr18	80373285	181440206	2.26	0	4238
chr19	58617616	133180711	2.27	0	160
chr20	64444167	157786321	2.45	0	1455
chr21	46709983	127768147	2.74	0	7146
chr22	50818468	101392716	2.00	0	4125
chrX	156040895	172452695	1.11	0	217
chrY	57227415	76135308	1.33	0	8969
chrM	16569	3087898	186.37	33	264
total	3088286401	6602771789	2.14	0	15482
