chrom	length	bases	mean	min	max
chr1	248956422	452708380	1.82	0	3401
chr2	242193529	429053157	1.77	0	2059
chr3	198295559	347877137	1.75	0	6961
chr4	190214555	331870462	1.74	0	6483
chr5	181538259	314728907	1.73	0	3827
chr6	170805979	296629675	1.74	0	589
chr7	159345973	284235712	1.78	0	201
chr8	145138636	256071394	1.76	0	984
chr9	138394717	221988750	1.60	0	4062
chr10	133797422	251921200	1.88	0	3594
chr11	135086622	244296343	1.81	0	94
chr12	133275309	234421481	1.76	0	228
chr13	114364328	178420348	1.56	0	3284
chr14	107043718	159109511	1.49	0	282
chr15	101991189	158255978	1.55	0	122
chr16	90338345	175224855	1.94	0	2534
chr17	83257441	161864763	1.94	0	1970
chr18	80373285	144979857	1.80	0	3069
chr19	58617616	108511663	1.85	0	141
chr20	64444167	132026377	2.05	0	975
chr21	46709983	98088937	2.10	0	2966
chr22	50818468	87116471	1.71	0	2427
chrX	156040895	135810756	0.87	0	79
chrY	57227415	48282061	0.84	0	4325
chrM	16569	125955	7.60	0	24
total	3088286401	5253620130	1.70	0	6961
