Sample	Chr	Start	End	Gene_name	Tumor.LogR	Tumor.Copy_Number	Tumor.Call	Tumor.LogR_Copy_Number	Plasma.LogR	Plasma.Copy_Number	Plasma.Call	Plasma.LogR_Copy_Number	Tumor_Plamsa_match
./derived_data/cna/seg/H8	chr1	70000001	71000000	LRRC7|LRRC40|SFRS11|ANKRD13C|HHLA3|CTH|BC041441|PTGER3	8e-04	2	Copy Neutral	1.87084709905749	-0.0095	2	Copy Neutral	0.636235990349228	TRUE
./derived_data/cna/seg/H8	chr1	97000001	98000000	DPYD|AK094607	7e-04	2	Copy Neutral	1.87060395211853	0.0132	2	Copy Neutral	4.01347203221266	TRUE
./derived_data/cna/seg/H8	chr11	78000001	79000000	KCTD14|THRSP|NDUFC2|ALG8|KCTD21|USP35|GAB2|NARS2|BC042472|ODZ4	7e-04	2	Copy Neutral	1.87060395211853	-0.0307	3	Copy Gain	0.015625	FALSE
./derived_data/cna/seg/H8	chr2	145000001	146000000	BC040861|BC043549	7e-04	2	Copy Neutral	1.87060395211853	0.0465	1	Hemizygous Deletions	9.0648956726317	FALSE
./derived_data/cna/seg/H8	chr17	60000001	61000000	DHX40P|DQ571776|DQ571391|HEATR6|AF086204|AP1S2|CA4|USP32|SCARNA20|C17orf64|AX746718|APPBP2|PPM1D|BCAS3	6e-04	2	Copy Neutral	1.87036082203266	-0.0487	2	Copy Neutral	0.015625	TRUE
./derived_data/cna/seg/H8	chr12	32000001	33000000	BICD1|FGD4|DNM1L|YARS2|PKP2	5e-04	2	Copy Neutral	1.87011770879869	-0.1564	2	Copy Neutral	0.015625	TRUE
./derived_data/cna/seg/H8	chr16	53000001	54000000	CHD9|BX537874|RBL2|AKTIP|RPGRIP1L|FTO	4e-04	2	Copy Neutral	1.86987461241547	-0.0787	2	Copy Neutral	0.015625	TRUE
./derived_data/cna/seg/H8	chr19	32000001	33000000	AK097493|ZNF507|DPY19L3|PDCD5|ANKRD27|RGS9BP|NUDT19|TDRD12|SLC7A9|CCDC123|C19orf40|RHPN2	3e-04	2	Copy Neutral	1.86963153288182	-0.0909	2	Copy Neutral	0.015625	TRUE
./derived_data/cna/seg/H8	chr4	172000001	173000000	GALNTL6|BC038759|BC137484	2e-04	2	Copy Neutral	1.86938847019657	-0.016	1	Hemizygous Deletions	0.015625	FALSE
./derived_data/cna/seg/H8	chr12	57000001	58000000	ZBTB39|TAC3|MYO1A|TMEM194A|NAB2|STAT6|LRP1|NXPH4|SHMT2|NDUFA4L2|STAC3|R3HDM2|INHBC|INHBE|GLI1|ARHGAP9|MARS|DDIT3|MBD6|DCTN2|KIF5A|BC033961|PIP4K2C|DTX3|GEFT|BC073932|SLC26A10|B4GALNT1|OS9|AGAP2|hCG_2014417|TSPAN31|CDK4|DM110804|MARCH9|CYP27B1|CYP1|METTL1|FAM119B|TSFM|AVIL|CTDSP2|DM119443|CR602022|XRCC6BP1	2.737	22	High-level Amplification	21.7370521323192	0.0095	2	Copy Neutral	3.45936621916866	FALSE
./derived_data/cna/seg/H8	chr1	204000001	205000000	C1orf157|SOX13|ETNK2|BC038769|REN|KISS1|GOLT1A|PLEKHA6|LOC127841|PPP1R15B|PIK3C2B|MDM4|LRRN2|NFASC	2.2357	15	High-level Amplification	14.8760222167332	0.0745	2	Copy Neutral	13.4035128861273	FALSE
