chrom	length	bases	mean	min	max
chr1	248956422	336423823	1.35	0	5655
chr2	242193529	312752935	1.29	0	2850
chr3	198295559	260329639	1.31	0	15358
chr4	190214555	255784299	1.34	0	7678
chr5	181538259	233257223	1.28	0	5444
chr6	170805979	218842892	1.28	0	277
chr7	159345973	205536370	1.29	0	221
chr8	145138636	187515432	1.29	0	1509
chr9	138394717	158115453	1.14	0	799
chr10	133797422	181381451	1.36	0	5469
chr11	135086622	173543504	1.28	0	76
chr12	133275309	172069376	1.29	0	315
chr13	114364328	136757285	1.20	0	471
chr14	107043718	115534478	1.08	0	330
chr15	101991189	109918516	1.08	0	188
chr16	90338345	119202311	1.32	0	1602
chr17	83257441	109540778	1.32	0	1725
chr18	80373285	107163702	1.33	0	3412
chr19	58617616	73246239	1.25	0	80
chr20	64444167	90209677	1.40	0	937
chr21	46709983	65742728	1.41	0	1792
chr22	50818468	57513930	1.13	0	1179
chrX	156040895	192672914	1.23	0	66
chrY	57227415	9390892	0.16	0	5582
chrM	16569	4379602	264.33	46	409
total	3088286401	3886825449	1.26	0	15358
