chrom	length	bases	mean	min	max
chr1	248956422	434540800	1.75	0	4007
chr2	242193529	368104462	1.52	0	2192
chr3	198295559	337309291	1.70	0	19452
chr4	190214555	337276586	1.77	0	7479
chr5	181538259	291571449	1.61	0	4393
chr6	170805979	283331682	1.66	0	243
chr7	159345973	365346330	2.29	0	2468
chr8	145138636	448782254	3.09	0	1911
chr9	138394717	199818089	1.44	0	418
chr10	133797422	126259717	0.94	0	4556
chr11	135086622	218821829	1.62	0	144
chr12	133275309	198642393	1.49	0	176
chr13	114364328	168725908	1.48	0	855
chr14	107043718	145928368	1.36	0	370
chr15	101991189	134147178	1.32	0	170
chr16	90338345	124392517	1.38	0	1835
chr17	83257441	139245479	1.67	0	1525
chr18	80373285	107406026	1.34	0	2699
chr19	58617616	125520163	2.14	0	179
chr20	64444167	112503256	1.75	0	795
chr21	46709983	70747016	1.51	0	1712
chr22	50818468	69518608	1.37	0	870
chrX	156040895	128276556	0.82	0	95
chrY	57227415	11939740	0.21	0	4686
chrM	16569	3947376	238.24	51	367
total	3088286401	4952103073	1.60	0	19452
