chrom	length	bases	mean	min	max
chr1	248956422	396375180	1.59	0	3130
chr2	242193529	402973796	1.66	0	1572
chr3	198295559	331495456	1.67	0	12988
chr4	190214555	283702586	1.49	0	9102
chr5	181538259	299965586	1.65	0	3269
chr6	170805979	279952970	1.64	0	216
chr7	159345973	338982989	2.13	0	290
chr8	145138636	315887348	2.18	0	1357
chr9	138394717	256432757	1.85	0	3602
chr10	133797422	225652193	1.69	0	3300
chr11	135086622	232387401	1.72	0	179
chr12	133275309	270114676	2.03	0	168
chr13	114364328	168522971	1.47	0	2437
chr14	107043718	146812752	1.37	0	253
chr15	101991189	137068674	1.34	0	111
chr16	90338345	143730737	1.59	0	2010
chr17	83257441	129533204	1.56	0	1677
chr18	80373285	133177881	1.66	0	3040
chr19	58617616	75203822	1.28	0	122
chr20	64444167	112118589	1.74	0	613
chr21	46709983	88954612	1.90	0	2541
chr22	50818468	69180618	1.36	0	1341
chrX	156040895	122874088	0.79	0	136
chrY	57227415	23023552	0.40	0	3602
chrM	16569	25936586	1565.37	387	2108
total	3088286401	5010061024	1.62	0	12988
