chrom	length	bases	mean	min	max
chr1	248956422	152194921	0.61	0	1609
chr2	242193529	136291568	0.56	0	999
chr3	198295559	109959690	0.55	0	2814
chr4	190214555	105150427	0.55	0	2734
chr5	181538259	99546877	0.55	0	1317
chr6	170805979	94444420	0.55	0	623
chr7	159345973	90555299	0.57	0	230
chr8	145138636	82087700	0.57	0	649
chr9	138394717	72933326	0.53	0	630
chr10	133797422	82586509	0.62	0	1730
chr11	135086622	78595461	0.58	0	465
chr12	133275309	74678459	0.56	0	312
chr13	114364328	55438688	0.48	0	911
chr14	107043718	50789836	0.47	0	299
chr15	101991189	52143220	0.51	0	116
chr16	90338345	57625286	0.64	0	719
chr17	83257441	54811784	0.66	0	753
chr18	80373285	47710398	0.59	0	1078
chr19	58617616	36424287	0.62	0	442
chr20	64444167	45204883	0.70	0	429
chr21	46709983	32753388	0.70	0	1260
chr22	50818468	29113241	0.57	0	621
chrX	156040895	45073394	0.29	0	333
chrY	57227415	17198942	0.30	0	1803
chrM	16569	613641	37.04	0	114
total	3088286401	1703925645	0.55	0	2814
